Year,Race,Coverage,Value
1999,,Lee County,3
1999,White,Lee County,1
1999,Black,Lee County,2
1999,Other,Lee County,0
2000,,Lee County,3
2000,White,Lee County,0
2000,Black,Lee County,3
2000,Other,Lee County,0
2001,,Lee County,3
2001,White,Lee County,0
2001,Black,Lee County,3
2001,Other,Lee County,0
2002,,Lee County,5
2002,White,Lee County,1
2002,Black,Lee County,4
2002,Other,Lee County,0
2003,,Lee County,3
2003,White,Lee County,1
2003,Black,Lee County,2
2003,Other,Lee County,0
2004,,Lee County,2
2004,White,Lee County,1
2004,Black,Lee County,1
2004,Other,Lee County,0
2005,,Lee County,5
2005,White,Lee County,3
2005,Black,Lee County,2
2005,Other,Lee County,0
2006,,Lee County,7
2006,White,Lee County,3
2006,Black,Lee County,4
2006,Other,Lee County,0
2007,,Lee County,4
2007,White,Lee County,1
2007,Black,Lee County,3
2007,Other,Lee County,0
2008,,Lee County,3
2008,White,Lee County,1
2008,Black,Lee County,2
2008,Other,Lee County,0
2009,,Lee County,7
2009,White,Lee County,1
2009,Black,Lee County,5
2009,Other,Lee County,1
2010,,Lee County,3
2010,White,Lee County,1
2010,Black,Lee County,2
2010,Other,Lee County,0
2011,,Lee County,1
2011,White,Lee County,1
2011,Black,Lee County,0
2011,Other,Lee County,0
2012,,Lee County,2
2012,White,Lee County,1
2012,Black,Lee County,1
2012,Other,Lee County,0
2013,,Lee County,3
2013,White,Lee County,1
2013,Black,Lee County,2
2013,Other,Lee County,0
2014,,Lee County,6
2014,White,Lee County,5
2014,Black,Lee County,1
2014,Other,Lee County,0
2015,,Lee County,2
2015,White,Lee County,0
2015,Black,Lee County,2
2015,Other,Lee County,0
2016,,Lee County,4
2016,White,Lee County,0
2016,Black,Lee County,4
2016,Other,Lee County,0
2017,,Lee County,1
2017,White,Lee County,0
2017,Black,Lee County,1
2017,Other,Lee County,0
2018,,Lee County,7
2018,White,Lee County,2
2018,Black,Lee County,5
2018,Other,Lee County,0
2019,,Lee County,1
2019,White,Lee County,1
2019,Black,Lee County,0
2019,Other,Lee County,0
2020,,Lee County,4
2020,White,Lee County,2
2020,Black,Lee County,2
2020,Other,Lee County,0
